SamplingOperations_code,IBD_pred
S02107890_20150609,19.556051199738825
S02107890_20160727,17.262268646556933
S02107900_20130711,20.063519808560127
S02107900_20140722,20.219076968119555
S02107900_20160727,19.812608622544886
S02108700_20080909,16.99038903667765
S02109000_20080909,17.2521333799271
S02109000_20200709,16.56881750459931
S02110600_20070904,16.307680494415415
S02111000_20160727,15.793486922769665
S02111000_20210708,16.06452863746304
S02111500_20200724,14.433023218853386
S02111500_20210708,15.024032952531805
S02112000_20160727,15.614226902560878
S02112050_20200724,15.939431580844506
S02112150_20160817,16.737950248150486
S02112150_20200917,15.746521524180306
S02112170_20170823,15.965373030385944
S02113000_20160831,14.330042538187953
S02114000_20180822,14.62955582797929
S02114500_20160831,15.64050335741316
S02115000_20090804,14.527946540118204
S02115200_20110802,6.952537939036471
S02115200_20141002,11.032698917393198
S02115625_20130710,18.73913593923357
S02115625_20160726,15.78762853245067
S02115650_20110804,11.261346676713366
S02115650_20160830,14.385754826156063
S02115660_20070730,18.61375751712489
S02115670_20200721,9.006395470947046
