region,SamplingOperations_code,y_true,oof_pred,yhat_te,y_filled,proba_Bad,proba_Good,proba_High,proba_Moderate,proba_Poor
1,S05181100_20130909,High,High,,High,,,,,
1,S05181100_20140728,High,High,,High,,,,,
1,S05181100_20161004,Good,Good,,Good,,,,,
1,S05181100_20170721,Good,Good,,Good,,,,,
1,S05181100_20180809,Good,Good,,Good,,,,,
1,S05181100_20190716,Good,Good,,Good,,,,,
1,S05181100_20200908,Moderate,Moderate,,Moderate,,,,,
1,S05181100_20210831,Moderate,Moderate,,Moderate,,,,,
1,S05181100_20220822,Moderate,Moderate,,Moderate,,,,,
1,S05181130_20130909,Good,Good,,Good,,,,,
1,S05181130_20140728,High,High,,High,,,,,
1,S05181130_20150722,Good,Good,,Good,,,,,
1,S05181130_20160805,Good,Good,,Good,,,,,
1,S05181130_20170721,Moderate,Moderate,,Moderate,,,,,
1,S05181130_20180809,Moderate,Moderate,,Moderate,,,,,
1,S05181130_20190715,Good,Good,,Good,,,,,
1,S05181130_20200908,High,High,,High,,,,,
1,S05181130_20220823,Good,Good,,Good,,,,,
1,S05181200_20070710,High,High,,High,,,,,
1,S05181200_20130909,High,High,,High,,,,,
1,S05181200_20140728,Good,Good,,Good,,,,,
1,S05181200_20150722,High,High,,High,,,,,
1,S05181200_20160804,High,High,,High,,,,,
1,S05181200_20170728,High,High,,High,,,,,
1,S05181200_20180814,High,High,,High,,,,,
1,S05181200_20190802,High,High,,High,,,,,
1,S05181200_20200908,High,High,,High,,,,,
1,S05181200_20210708,High,High,,High,,,,,
1,S05181200_20220921,Good,Good,,Good,,,,,
1,S05181600_20080801,High,High,,High,,,,,
1,S05181600_20100701,High,High,,High,,,,,
1,S05181600_20110823,High,High,,High,,,,,
1,S05181600_20130910,High,High,,High,,,,,
1,S05181600_20140728,High,High,,High,,,,,
1,S05181600_20150722,High,High,,High,,,,,
1,S05181600_20160804,High,High,,High,,,,,
1,S05181600_20170720,High,High,,High,,,,,
1,S05181600_20180808,Good,Good,,Good,,,,,
1,S05181600_20190716,High,High,,High,,,,,
1,S05181600_20200818,High,High,,High,,,,,
1,S05181600_20210908,High,High,,High,,,,,
1,S05181600_20220823,High,High,,High,,,,,
1,S05181800_20070807,High,High,,High,,,,,
1,S05181800_20080801,High,High,,High,,,,,
1,S05181800_20100701,High,High,,High,,,,,
1,S05181800_20110824,High,High,,High,,,,,
1,S05181800_20130909,High,High,,High,,,,,
1,S05181800_20140820,High,High,,High,,,,,
1,S05181800_20150824,High,High,,High,,,,,
1,S05181800_20160929,High,High,,High,,,,,
1,S05181800_20170904,High,High,,High,,,,,
1,S05181800_20180926,High,High,,High,,,,,
1,S05181800_20190910,High,High,,High,,,,,
1,S05181800_20200904,High,High,,High,,,,,
1,S05181800_20210720,High,High,,High,,,,,
1,S05181800_20221011,High,High,,High,,,,,
1,S05182200_20140729,High,High,,High,,,,,
1,S05182200_20160802,High,High,,High,,,,,
1,S05182200_20170718,Good,Good,,Good,,,,,
1,S05182200_20180806,Moderate,Moderate,,Moderate,,,,,
1,S05182200_20190910,Good,Good,,Good,,,,,
1,S05182200_20200915,Good,Good,,Good,,,,,
1,S05182200_20210913,Good,Good,,Good,,,,,
1,S05182200_20220816,Good,Good,,Good,,,,,
1,S05183000_20070802,High,High,,High,,,,,
1,S05183000_20090806,High,High,,High,,,,,
1,S05183000_20100803,High,High,,High,,,,,
1,S05183000_20110803,High,High,,High,,,,,
1,S05183000_20120906,High,High,,High,,,,,
1,S05183000_20130909,High,High,,High,,,,,
1,S05183000_20140729,High,High,,High,,,,,
1,S05183000_20150723,High,High,,High,,,,,
1,S05183000_20160929,High,High,,High,,,,,
1,S05183000_20170905,High,High,,High,,,,,
1,S05183000_20180921,High,High,,High,,,,,
1,S05183000_20200915,High,High,,High,,,,,
1,S05183000_20210906,High,High,,High,,,,,
1,S05183000_20220818,High,High,,High,,,,,
1,S05183290_20160802,High,High,,High,,,,,
1,S05183290_20170718,High,High,,High,,,,,
